Şirket Adı,"İzahname Onay
Kimteks Poliüretan Sanayi ve Ticaret  A.Ş.,2022-04-14,20-22/04/2022,2022-04-28,"TSKB, Yatırım Finansman (konsorsiyum) ",Yıldız Pazar,957000000.0,65071939.51097452,121550000.0,133100000.0,33000000.0,11550000.0,21450000.0,29,54250000.0,1.643939393939394,36988.0, Fiyat  Aralığıyla TT
İmaş Makina Sanayi A.Ş.,2022-04-14,20-22/04/2022,2022-04-29,A1 Capital Yatırım (konsorsiyum),Ana Pazar,210000000.0,14279108.983599424,37000000.0,44000000.0,14000000.0,7000000.0,7000000.0,15,33608000.0,2.4005714285714284,124993.0,Sabit Fiyatla TT
Sun Tekstil Sanayi ve Ticaret A.Ş.,2022-04-28,11-13/05/2022,2022-05-20,QNB Finans ,Yıldız Pazar,730080000.0,47291712.54971564,135600000.0,151200000.0,28080000.0,15600000.0,12480000.0,26,58167000.0,2.071474358974359,33178.0,Sabit Fiyatla TT
Yayla Agro Gıda Sanayi ve Ticaret A.Ş.,2022-04-22,11-13/05/2022,2022-05-20,"Garanti Yat., Yapı Kredi Yat. (konsorsiyum)",Yıldız Pazar,887500000.0,57488761.352006115,472600000.0,515200000.0,71000000.0,42600000.0,28400000.0,12.5,187668000.0,2.6432112676056336,64862.0,Sabit Fiyatla TT
Şeker Gayrimenkul Yatırım Ortaklığı A.Ş.,2022-05-26,01-02/06/2022,2022-06-07,Şeker Yatırım ,Ana Pazar,223727703.10000002,13609568.897134863,813555000.0,1016944000.0,203388821.0,203388821.0,0.0,1.1,321776000.0,1.5820717934598232,151717.0,Sabit Fiyatla TT
Europen Endüstri İnşaat Sanayi ve Ticaret A.Ş.,2022-05-26,02-03/06/2022,2022-06-08,Garanti Yatırım ,Yıldız Pazar,548925000.0,33315631.353746243,168780000.0,202560000.0,33780000.0,33780000.0,0.0,16.25,36059000.0,1.067465956187093,73755.0,Sabit Fiyatla TT
Pardus Girişim Sermayesi Yatırım Ortaklığı A.Ş.,2022-06-02,09-10/06/2022,2022-06-15,A1 Capital Yatırım,Ana Pazar,151140000.0,8859891.317728575,196000000.0,251000000.0,66000000.0,55000000.0,11000000.0,2.29,202470000.0,3.067727272727273,125497.0,Borsada Satış-Sabit fiyatla TT
Makim Makina Teknolojileri Sanayi ve Ticaret A.Ş.,2022-06-02,09-10/06/2022,2022-06-17,Halk Yatırım (konsorsiyum),Ana Pazar,158400000.0,9285475.616833441,56000000.0,56000000.0,18000000.0,0.0,18000000.0,8.8,99797000.0,5.544277777777777,177496.0,Sabit Fiyatla TT
Kocaer Çelik Sanayi ve Ticaret A.Ş.,2022-06-16,22-24/06/2022,2022-06-30,QNB Finans Yatırım (konsorsiyum),Yıldız Pazar,1542750000.0,88930584.85802235,233500000.0,255000000.0,56100000.0,21500000.0,34600000.0,27.5,56603000.0,1.0089661319073084,45576.0,Sabit Fiyatla TT
Rubenis Tekstil Sanayi Ticaret A.Ş.,2022-06-23,29-30/06/2022,2022-07-06,Ahlatcı Yatırım (konsorsiyum),Yıldız Pazar,306250000.0,18380808.335433997,74500000.0,99000000.0,24500000.0,24500000.0,0.0,12.5,39820000.0,1.6253061224489795,155606.0,Sabit Fiyatla TT
Kiler Holding A.Ş.,2022-06-23,30/06-01/07/2022,2022-07-07,Tacirler Yatırım Menkul Değerler A.Ş. ,Yıldız Pazar,692250000.0,41413657.982112415,650000000.0,650000000.0,97500000.0,0.0,97500000.0,7.1,120795917.0,1.2389324820512821,44487.0,Sabit Fiyatla TT
Koroplast Temizlik Ambalaj Ürünleri Sanayi ve Dış Ticaret A.Ş.,2022-06-30,20-22/07/2022,2022-07-28,Yapı Kredi Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,367380000.0,20743041.047936313,174600000.0,199200000.0,78500000.0,24600000.0,53900000.0,4.68,456645000.0,5.817133757961783,104157.0,Sabit Fiyatla TT
Obase Bilgisayar ve Danışmanlık Hizmetleri Ticaret A.Ş.,2022-07-21,28-29/07/2022,2022-08-03,Ziraat Yatırım Menkul Değerler A.Ş.,Ana Pazar,147000000.0,8215090.058623331,45500000.0,56000000.0,14000000.0,10500000.0,3500000.0,10.5,51724000.0,3.6945714285714284,305665.0,Borsada Satış-Sabit fiyatla TT
Barem Ambalaj Sanayi ve Ticaret A.Ş.,2022-07-28,03-04/08/2022,2022-08-10,İnfo Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,378000000.0,21076108.16838584,52500000.0,60000000.0,10500000.0,7500000.0,3000000.0,36,24692000.0,2.3516190476190477,277158.0,Borsada Satış-Sabit fiyatla TT
Aztek Teknoloji Ürünleri Ticaret A.Ş.,2022-08-04,10-12/08/2022,2022-08-17,"Deniz Yatırım, QNB Finans ",Ana Pazar,272500000.0,15192399.897416458,100000000.0,120000000.0,25000000.0,20000000.0,5000000.0,10.9,726637000.0,29.06548,200092.0,Sabit Fiyatla TT
Hidropar Hareket Kontrol Teknolojileri Merkezi Sanayi ve Ticaret A.Ş.,2022-08-04,10-12/08/2022,2022-08-18,A1 Capital Yatırım Menkul Değerler A.Ş. ,Ana Pazar,132000000.0,7359254.26223476,35000000.0,45000000.0,12000000.0,10000000.0,2000000.0,11,67030000.0,5.585833333333333,303681.0,Borsada Satış-Sabit fiyatla TT
Alfa Solar Enerji Sanayi ve Ticaret A.Ş.,2022-11-03,09-11/11/2022,2022-11-16,Deniz Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,538200000.0,29073818.977392428,46000000.0,52000000.0,9200000.0,6000000.0,3200000.0,58.5,488774000.0,53.12760869565217,348146.0,Sabit Fiyatla TT
Sanica Isı Sanayi A.Ş. ,2022-11-11,15-18/11/2022,2022-11-24,"Gedik Yatırım Menkul Değerler A.Ş.
İntegral Yatırım Menkul Değerler A.Ş.",Yıldız Pazar,801200000.0,43088009.895399176,135000000.0,170000000.0,40000000.0,35000000.0,5000000.0,20.03,436735000.0,10.918375,166700.0,Sabit Fiyatla TT
Özsu Balık Üretim A.Ş.,2022-11-11,22-23/11/2022,2022-11-29,Gedik Yatırım Menkul Değerler A.Ş.,Ana Pazar,153800000.0,8267350.416323985,60000000.0,80000000.0,20000000.0,20000000.0,0.0,7.69,101067000.0,5.05335,399300.0,Borsada Satış-Sabit fiyatla TT
Platform Turizm Taşımacılık Gıda İnşaat Temizlik Hizmetleri Sanayi ve Ticaret A.Ş.,2022-12-02,08-09/12/2022,2022-12-14,İnfo Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,450450000.0,24190689.98109641,244750000.0,269500000.0,49500000.0,24750000.0,24750000.0,9.1,180705000.0,3.6506060606060604,630866.0,Borsada Satış-Sabit fiyatla TT
Birikim Varlık Yönetim A.Ş.,2022-12-02,08-09/12/2022,2022-12-15,Halk Yatırım Menkul Kıymetler A.Ş.,Ana Pazar,170400000.0,9151056.882625882,56000000.0,62000000.0,12000000.0,6000000.0,6000000.0,14.2,260734000.0,21.727833333333333,538277.0,Sabit Fiyatla TT
Ahlatcı Doğal Gaz Dağıtım Enerji ve Yatırım A.Ş.,2022-12-09,14-15-16/12/2022,2022-12-22,Ahlatcı Yatırım (Konsorsiyum Lideri),Yıldız Pazar,3481500000.0,187040658.44328877,208000000.0,247500000.0,52750000.0,39500000.0,13250000.0,66,229317000.0,4.347241706161137,395108.0,Sabit Fiyatla TT
Tera Yatırım Menkul Değerler A.Ş.,2022-12-09,15-16/12/2022,2022-12-22,Tera Yat.  (Kons. Lideri) Alnus Yat. (Eş Lider)              ,Ana Pazar,165000000.0,8858870.145070711,52500000.0,67500000.0,16500000.0,15000000.0,1500000.0,10,1295132000.0,78.49284848484848,353837.0,Sabit Fiyatla TT
EYG Gayrimenkul Yatırım Ortaklığı A.Ş.,2022-12-15,22-23/12/2022,2022-12-29,Tacirler Yatırım Menkul Değerler A.Ş. ,Yıldız Pazar,352192500.0,18875005.359286573,82500000.0,99000000.0,24750000.0,16500000.0,8250000.0,14.23,111317000.0,4.497656565656565,883639.0,Sabit Fiyatla TT
SDT Uzay ve Savunma Teknolojileri A.Ş.,2022-12-22,28-29/12/2022,2023-01-04,İnfo Yatırım Menkul Değerler A.Ş. ,Yıldız Pazar,392000000.0,20966603.19633726,50000000.0,58000000.0,12250000.0,8000000.0,4250000.0,32.0,250972000.0,20.487510204081634,838560.0,Sabit Fiyatla TT
Oncosem Onkolojik Sistemler Sanayi ve Ticaret A.Ş.,2022-12-15,28-29/12/2022,2023-01-04,İnfo Yatırım Menkul Değerler A.Ş.,Ana Pazar,104125000.0,5569194.398981633,19900000.0,23850000.0,5950000.0,3950000.0,2000000.0,17.5,105567000.0,17.74235294117647,36044.0,Sabit Fiyatla TT
Söke Değirmencilik Sanayi ve Ticaret A.Ş.,2022-12-22,04-05-06/01/2023,2023-01-12,QNB Finans Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,581250000.0,31000330.670193814,309000000.0,386500000.0,77500000.0,77500000.0,0.0,7.5,9163695000.0,118.24,787164.0,Sabit Fiyatla TT
Tapdi Oksijen Özel Sağlık ve Eğitim Hizmetleri Sanayi Ticaret A.Ş.,2022-12-29,05-06/01/2023,2023-01-11,Piramit Menkul Kıymetler A.Ş.,Ana Pazar,285880000.0,15247095.96902367,100000000.0,128000000.0,28000000.0,28000000.0,0.0,10.21,62059000.0,2.216392857142857,743501.0,Sabit Fiyatla TT
Astor Enerji A.Ş.,2022-12-22,11-13/01/2023,2023-01-18,TEB Yatrırım Menkul Değerler A.Ş.,Yıldız Pazar,2625000000.0,139864983.66909808,850000000.0,998000000.0,210000000.0,148000000.0,62000000.0,12.5,7242343000.0,34.48734761904762,690734.0,Sabit Fiyatla TT
Mackolik İnternet Hizmetleri Ticaret A.Ş.,2022-12-29,19-20/01/2023,2023-01-26,İnfo Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,323000000.0,17201804.32548157,25000000.0,25000000.0,8500000.0,0.0,8500000.0,38.0,267441000.0,31.46364705882353,678726.0,Sabit Fiyatla TT
Bülbüloğlu Vinç Sanayi ve Ticaret A.Ş.,2023-01-19,26-30/01/2023,2023-02-06,Tera Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,356500000.0,18975281.568694245,30000000.0,37600000.0,11500000.0,7600000.0,3900000.0,31.0,1500861000.0,130.50965217391305,373600.0,Sabit Fiyatla TT
Göknur Gıda Maddeleri Enerji İmalat İthalat İhracat Ticaret ve Sanayi A.Ş.,2023-02-02,01-02-03/03/2023,2023-03-09,Yapı Kredi Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,871750000.0,46225349.57340644,285000000.0,350000000.0,79250000.0,65000000.0,14250000.0,11.0,628324000.0,7.928378548895899,862805.0,Sabit Fiyatla TT
Akfen Yenilenebilir Enerji A.Ş.,2023-03-02,08-09-10/03/2023,2023-03-16,Garanti Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,3335632889.4,176139960.5753694,1016032000.0,1016032000.0,340370703.0,0.0,340370703.0,9.8,7776922000.0,22.848387059916845,419123.0,Sabit Fiyatla TT
Eksun Gıda Tarım Sanayi ve Ticaret A.Ş.,2023-03-09,15-16-17/03/2023,2023-03-24,Yapı Kredi Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,980078347.8,51538313.97996476,49957498.0,70000000.0,20042502.0,20042502.0,0.0,48.9,301147000.0,15.025046150775832,1210861.0,Sabit Fiyatla TT
Koza Polyester Sanayi ve Ticaret A.Ş.,2023-03-30,05-06-07/04/2023,2023-04-13,Garanti Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,1087555000.0,56545712.62192459,193000000.0,216160000.0,44390000.0,23160000.0,21230000.0,24.5,225411000.0,5.077968010813247,1729153.0,Sabit Fiyatla TT
CVK Maden İşletmeleri Sanayi ve Ticaret A.Ş.,2023-03-30,06-07/04/2023,2023-04-13,Tera Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,882000000.0,45858203.52307469,35000000.0,42000000.0,8400000.0,7000000.0,1400000.0,105.0,42798000.0,5.095,1452252.0,Sabit Fiyatla TT
Europower Enerji ve Otomasyon Teknolojileri Sanayi Ticaret A.Ş.,2023-04-06,12-13-14/04/2023,2023-04-20,Ak Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,2436000000.0,125980668.48362923,175000000.0,220000000.0,60000000.0,45000000.0,15000000.0,40.6,241716000.0,4.0286,2118379.0,Sabit Fiyatla TT
Graınturk Tarım A.Ş.,2023-04-13,18-19/04/2023,2023-04-26,Info Yatırım MD,Yıldız Pazar,440000000.00000006,22703115.486620642,125000000.0,150000000.0,25000000.0,25000000.0,0.0,17.6,161537000.0,6.46148,1248019.0,Borsada Satış-Sabit fiyatla TT
CW Enerji Mühendislik Ticaret ve Sanayi A.Ş. ,2023-04-13,26-27-28/04/2023,2023-05-05,Deniz Yatırım MD,Yıldız Pazar,2036250000.0,167577938.14326936,123750000.0,142500000.0,30000000.0,18750000.0,11250000.0,108.6,124365000.0,4.1455,2243594.0,Sabit Fiyatla TT
Büyük Şefler Gıda Turizm Tekstil Danışmanlık Organizasyon Eğitim Sanayi ve Ticaret A.Ş.,2023-04-27,03-05/05/2023,2023-05-10,Deniz Yatırım - T. Kalkınma ve Yatırım Bankası liderliğinde konsorsiyum,Yıldız Pazar,157500000.0,42747770.1838796,107000000.0,114000000.0,37000000.0,7000000.0,30000000.0,22.5,190709000.0,5.154297297297298,1800881.0,Sabit Fiyatla TT
Kayseri Şeker Fabrikası A.Ş.,2023-05-05,10-11-12/05/2023,2023-05-18,Gedik Yatırım MD liderliğinde konsorsiyum ,Yıldız Pazar,1724620000.0,88148674.41182934,706000000.0,812000000.0,106000000.0,106000000.0,0.0,16.27,121382000.0,1.1451132075471697,1619459.0,Sabit Fiyatla TT
Bien Yapı Ürünleri Sanayi Turizm ve Ticaret A.Ş.,2023-05-05,11-12/05/2023,2023-05-18,Ak Yatırım - Garanti Yatırım ve Yapı Kredi Yatırım liderliğinde konsorsiyum,Yıldız Pazar,3095557893.2,158219970.1097373,361000000.0,433326119.0,72326119.0,72326119.0,0.0,42.8,72845000.0,1.0071758427121644,1446140.0,Sabit Fiyatla TT
Katılımevim Tasarruf Finansman A.Ş.,2023-06-01,06-07/06/2024,2023-06-12,İnfo Yatırım MD,Yıldız Pazar,402900000.0,35002823.50897007,180000000.0,210000000.0,60000000.0,30000000.0,30000000.0,13.43,79436000.0,1.3239333333333334,474210.0,Borsada Satış-Sabit fiyatla TT
Pasifik Eurasia Lojistik Dış Ticaret  A.Ş.,2023-06-01,06-07/06/2023,2023-06-14,Halk Yatırım MD liderliğinde konsorsiyum,Yıldız Pazar,450000000.0,36922809.608618215,168000000.0,186000000.0,34000000.0,18000000.0,16000000.0,25.0,86464000.0,2.5430588235294116,903205.0,Sabit Fiyatla TT
Forte Bilgi İletişim Teknolojileri ve Savunma Sanayi A.Ş.,2023-06-01,08-09/06/2023,2023-06-14,İnfo Yatırım MD,Ana Pazar,266639999.99999997,11379601.731010523,67000000.0,89000000.0,22000000.0,22000000.0,0.0,12.12,68612000.0,3.1187272727272726,660379.0,Borsada Satış-Sabit fiyatla TT
A1 Capital Yatırım Menkul Değerler A.Ş.,2023-06-01,07-09/06/2023,2023-06-15,A1 Capital Yatırım MD liderliğinde konsorsiyum,Yıldız Pazar,875000000.0,37343052.48512679,135000000.0,170000000.0,35000000.0,35000000.0,0.0,25.0,85029000.0,2.4294,753645.0,Sabit Fiyatla TT
Kaleseramik Çanakkale Kalebodur Seramik Sanayi ,2023-07-13,19-21/07/2023,2023-07-27,Ak yatırım MD,Yıldız Pazar,2734761625.0,101677986.3773084,514779000.0,624169465.0,109390465.0,109390465.0,0.0,25.0,365922000.0,3.3451138129627935,1919116.0,Sabit Fiyatla TT
Fuzul Gayrimenkul Yatırım Ortaklığı A.Ş.,2023-07-13,20-21/07/2023,2023-07-28,Halk Yatırım ve İntegral Yatırım MD liderliğinde konsorsiyum,Yıldız Pazar,568354000.0,30396522.941817276,318000000.0,381860000.0,91860000.0,63860000.0,28000000.0,8.9,267859000.0,2.9159481820161113,1326874.0,Sabit Fiyatla TT
Atakey Patates Gıda Sanayi ve Ticaret A.Ş.,2023-07-13,19-21/07/2023,2023-07-27,İş Yatırım MD ve Ara Yatırım  liderliğinde konsorsiyum,Yıldız Pazar,836136000.0,41452793.14652865,138768000.0,159936000.0,28224000.0,21168000.0,7056000.0,39.5,140320000.0,4.971655328798186,1665576.0,Sabit Fiyatla TT
ASCE Gayrimenkul Yatırım Ortaklığı A.Ş.,2023-07-20,27-28/07/2023,2023-08-03,Halk Yatırım MD.,Yıldız Pazar,1247400000.0,77173210.98465446,659000000.0,758000000.0,165000000.0,99000000.0,66000000.0,12.6,370041000.0,2.24267272727273,1320135.0,Sabit Fiyatla TT
Tatlıpınar Enerji Üretim A.Ş.,2023-08-03,10-11/08/2023,2023-08-17,İnfo Yatırım MD-Vakıf Yatırım liderliğinde konsorsiyum,Yıldız Pazar,789750000.0,58487219.45945145,280500000.0,315600000.0,70200000.0,35100000.0,35100000.0,22.5,281550000.0,4.010683760683761,2233460.0,Sabit Fiyatla TT
Ofis Yem Gıda Sanayi Ticaret A.Ş.,2023-08-03,10-11/08/2023,2023-08-16,Garanti Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,618800000.0,22913511.491933245,146250000.0,162500000.0,22750000.0,16250000.0,6500000.0,27.2,62405000.0,2.743076923076923,1425001.0,Borsada Satış-Sabit fiyatla TT
İzdemir Enerji Elektrik Üretim A.Ş.,2023-08-03,08-10/08/2023,2023-08-16,Garanti Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,2624280000.0,97203475.83877204,575000000.0,650000000.0,138120000.0,75000000.0,63120000.0,19.0,525808000.0,3.8068925571966408,2648584.0,Sabit Fiyatla TT
Baydöner Restoranları ,2023-08-09,15-16/08/2023,2023-08-21,Halk Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,378000000.0,13986842.007888874,84000000.0,98000000.0,18000000.0,14000000.0,4000000.0,21.0,58129000.0,3.229388888888889,1264215.0,Borsada Satış-Sabit fiyatla TT
Enerya Enerji A.Ş.,2023-08-09,14-15-16/08/2023,2023-08-23,"Ahlatcı Yatırım ,  Vakıf Yatırım Menkul Değerler A.Ş. ",Yıldız Pazar,3461640000.0,127886331.14256264,145000000.0,170000000.0,39000000.0,25000000.0,14000000.0,88.76,105705000.0,2.710384615384615,2637008.0,Sabit Fiyatla TT
Kuzugrup Gayrimenkul Yatırım Ortaklığı A.Ş.,2023-08-16,21-22-23/08/2023,2023-08-29,Tera Yatırım Menkul Kıymetler A.Ş.,Yıldız Pazar,1038000000.0000001,38198699.47780391,200000000.0,225000000.0,50000000.0,25000000.0,25000000.0,20.76,280244000.0,5.60488,2085695.0,Sabit Fiyatla TT
Ebebek Mağazacılık A.Ş.,2023-08-24,29/08-01/09/2023,2023-09-07,Ünlü Menkul Değerler A.Ş.,Yıldız Pazar,1860000000.0,69719584.83111742,160000000.0,184000000.0,40000000.0,24000000.0,16000000.0,46.5,307900000.0,7.6975,3804835.0,Sabit Fiyatla TT
Tarkim Bitki Koruma Sanayi ve Ticaret A.Ş.,2023-08-31,05-06/09/2023,2023-09-12,Halk Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,537500000.0,20078371.018412333,21000000.0,26000000.0,5000000.0,5000000.0,0.0,107.5,20685000.0,4.137,2675408.0,Sabit Fiyatla TT
Gıpta Ofis Kırtasiye ve Promosyon Ürünleri İmalat Sanayi A.Ş.,2023-08-31,06-07-08/09/2023,2023-09-14,Halk Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,836000000.0,31183906.71684938,132000000.0,164000000.0,40000000.0,32000000.0,8000000.0,20.9,281282000.0,7.03205,3364933.0,Sabit Fiyatla TT
Hat-San Gemi İnşaa Bakım Onarım Deniz Nakliyat Sanayi ve Ticaret A.Ş.,2023-09-07,14-15/09/2023,2023-09-22,İnfo Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,1001180000.0000001,37177125.88191608,221500000.0,254962907.0,44300000.0,33462907.0,10837093.0,22.6,252282000.0,5.6948532731376975,3735529.0,Sabit Fiyatla TT
Adra Gayrimenkul Yatırım Ortaklığı A.Ş.,2023-09-07,14-15/09/2023,2023-09-20,Garanti Yatırım Menkul Kıymetler A.Ş.,Yıldız Pazar,1670042000.0,62014184.92387672,293700000.0,367400000.0,73700000.0,73700000.0,0.0,22.66,91133000.0,1.2365400271370421,2536304.0,Sabit Fiyatla TT
Reeder Teknoloji Sanayi ve Ticaret A.Ş.,2023-09-07,13-14-15/09/2023,2023-09-21,"TSKB, Yatırım Finansman ve Ziraat Yatırım Menkul Değerler A.Ş.",Yıldız Pazar,1999500000.0000002,74248050.50129968,950000000.0,1120000000.0,215000000.0,170000000.0,45000000.0,9.3,848217000.0,3.9451953488372093,4208278.0,Sabit Fiyatla TT
DMR Unlu Mamuller Üretim Gıda Toptan Perakende İhracat A.Ş.,2023-09-14,21-22/09/2023,2023-09-29,A1 Capital Yatırım Menkul Değerler A.Ş.,Yıldız Pazar,768000000.0,28335405.605835322,185300000.0,260300000.0,75000000.0,75000000.0,0.0,10.24,516189000.0,6.88252,2974287.0,Sabit Fiyatla TT
